time,P,G(i),H_sun,T2m,WS10m,Int
20190120:1111,77157000,295.59,14.69,-0.4,1.03,0
20190120:1211,85839000,328.42,14.42,0.5,1.1,0
20190120:1311,107646000,409.8,12.01,0.78,1.17,0
20190120:1411,36600000,150.11,7.7,0.48,1.24,0
20190120:1511,0,0,0,-0.41,1.59,0
20190120:1611,0,0,0,-1.44,1.79,0
20190120:1711,0,0,0,-1.82,1.79,0
20190120:1811,0,0,0,-2.01,1.86,0
20190120:1911,0,0,0,-2.01,2.07,0
20190120:2011,0,0,0,-1.99,2.14,0
20190120:2111,0,0,0,-2.15,2.28,0
20190120:2211,0,0,0,-2.23,2.34,0
20190120:2311,0,0,0,-2.26,2.48,0
20190121:0011,0,0,0,-2.23,2.69,0
20190121:0111,0,0,0,-2.08,2.9,0
20190121:0211,0,0,0,-1.86,3.1,0
20190121:0311,0,0,0,-1.63,3.38,0
20190121:0411,0,0,0,-1.14,3.59,0
20190121:0511,0,0,0,-0.36,4,0
20190121:0611,0,0,0,0.14,4.14,0
20190121:0711,0,0,0,1.14,3.72,0
20190121:0811,42360000,173.45,3.57,1.7,3.03,0
20190121:0911,40485000,164.64,9.13,2.13,2.76,0
20190121:1011,57444000,226.51,13.01,3.21,2.76,0
20190121:1111,77967000,302.1,14.9,4.3,2.97,0
20190121:1211,88545000,341.29,14.64,4.78,3.17,0
20190121:1311,67845000,265.02,12.24,4.48,3.17,0
20190121:1411,66054000,258.44,7.93,3.97,3.1,0
20190121:1511,0,0,0,2.94,2.9,0
20190121:1611,0,0,0,1.56,2.69,0
20190121:1711,0,0,0,0.99,2.48,0
20190121:1811,0,0,0,0.61,2.34,0
20190121:1911,0,0,0,0.39,2.14,0
20190121:2011,0,0,0,0.14,2.07,0
20190121:2111,0,0,0,-0.21,2.07,0
20190121:2211,0,0,0,-0.67,2.14,0
20190121:2311,0,0,0,-0.94,2.21,0
20190122:0011,0,0,0,-0.86,2.21,0
20190122:0111,0,0,0,-0.73,2.34,0
20190122:0211,0,0,0,-0.47,2.41,0
20190122:0311,0,0,0,-0.33,2.48,0
20190122:0411,0,0,0,0,2.55,0
20190122:0511,0,0,0,0.12,2.69,0
20190122:0611,0,0,0,0.22,2.76,0
20190122:0711,0,0,0,0.27,2.55,0
20190122:0811,207000,7.18,3.75,0.08,2.97,0
20190122:0911,6474000,37.71,9.32,-0.02,3.03,0
20190122:1011,108588000,406.91,13.21,0.23,3.38,0
20190122:1111,107145000,401.98,15.12,0.5,3.52,0
20190122:1211,118617000,444.29,14.87,0.75,3.66,0
20190122:1311,79206000,301.29,12.48,0.78,3.38,0
20190122:1411,56229000,219.24,8.16,0.64,3.93,0
20190122:1511,0,0,0,0.1,3.79,0
20190122:1611,0,0,0,-0.54,3.79,0
20190122:1711,0,0,0,-0.89,3.86,0
20190122:1811,0,0,0,-1.21,3.86,0
20190122:1911,0,0,0,-1.25,3.72,0
20190122:2011,0,0,0,-1.51,3.52,0
20190122:2111,0,0,0,-1.76,3.31,0
20190122:2211,0,0,0,-2.1,3.17,0
20190122:2311,0,0,0,-2.35,3.1,0
20190123:0011,0,0,0,-2.59,3.1,0
20190123:0111,0,0,0,-2.89,2.97,0
20190123:0211,0,0,0,-3.07,2.97,0
20190123:0311,0,0,0,-3.17,2.83,0
20190123:0411,0,0,0,-3.3,2.76,0
20190123:0511,0,0,0,-3.39,2.69,0
20190123:0611,0,0,0,-3.52,2.55,0
20190123:0711,0,0,0,-3.91,2.55,0
20190123:0811,53556000,209.46,3.92,-4.03,2.55,0
20190123:0911,6804000,38.61,9.51,-3.43,2.62,0
20190123:1011,8328000,44.89,13.43,-2.63,3.31,0
20190123:1111,47571000,187.27,15.35,-2.02,2.76,0
20190123:1211,100986000,377.62,15.11,-1.5,2.69,0
20190123:1311,63165000,242.38,12.72,-1.25,2.83,0
20190123:1411,45465000,180.06,8.4,-1.2,2.69,0
20190123:1511,0,4.49,2.49,-1.62,2.14,0
20190123:1611,0,0,0,-2.17,2.14,0
20190123:1711,0,0,0,-2.59,2.07,0
20190123:1811,0,0,0,-3,2,0
20190123:1911,0,0,0,-3.38,1.52,0
20190123:2011,0,0,0,-3.77,1.38,0
20190123:2111,0,0,0,-4.2,1.52,0
20190123:2211,0,0,0,-4.38,1.72,0
20190123:2311,0,0,0,-4.29,1.86,0
20190124:0011,0,0,0,-4.22,1.86,0
20190124:0111,0,0,0,-4.37,1.66,0
20190124:0211,0,0,0,-4.61,1.52,0
20190124:0311,0,0,0,-4.95,1.52,0
20190124:0411,0,0,0,-4.91,1.72,0
20190124:0511,0,0,0,-5.06,1.79,0
20190124:0611,0,0,0,-5.18,1.86,0
20190124:0711,0,0,0,-5.74,2,0
20190124:0811,783000,10.77,4.11,-5.86,2.07,0
20190124:0911,5787000,34.12,9.71,-5.68,2.07,0
